unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
PC,AL,2.54 ,1.38 ,1.51 ,1.22 ,0.85 ,0.94 ,0.98 ,1.31 ,1.16 ,1.27 ,1.00 ,2.69 ,1.86 ,2.16 ,1.86 ,2.37 ,1.24 ,1.23 ,1.04 ,1.27 
PC,AT,1.16 ,1.26 ,1.02 ,1.46 ,1.34 ,1.39 ,1.37 ,1.63 ,1.59 ,1.34 ,1.47 ,1.71 ,1.53 ,1.38 ,1.68 ,1.97 ,1.74 ,1.90 ,1.89 ,0.14 
PC,BA,0.25 ,0.29 ,0.28 ,0.28 ,0.33 ,0.32 ,0.32 ,0.27 ,0.27 ,0.46 ,0.82 ,0.46 ,0.49 ,0.70 ,0.55 ,0.44 ,0.52 ,0.41 ,0.52 ,0.43 
PC,BE,5.72 ,4.90 ,5.51 ,9.91 ,10.03 ,11.58 ,8.12 ,5.83 ,5.81 ,7.26 ,8.58 ,9.22 ,5.11 ,4.60 ,5.33 ,4.54 ,3.77 ,5.77 ,3.89 ,5.77 
PC,BG,1.95 ,1.62 ,1.73 ,1.60 ,1.61 ,1.31 ,1.46 ,1.86 ,1.73 ,1.46 ,0.93 ,1.66 ,1.68 ,1.16 ,1.03 ,1.27 ,1.48 ,1.75 ,1.35 ,1.56 
PC,CH,0.64 ,0.53 ,0.76 ,0.72 ,0.81 ,0.82 ,0.80 ,0.69 ,0.67 ,0.72 ,0.75 ,0.90 ,1.04 ,0.56 ,0.64 ,0.69 ,0.66 ,0.84 ,0.72 ,0.59 
PC,CY,80.91 ,118.72 ,142.31 ,119.00 ,124.71 ,129.53 ,111.26 ,107.12 ,89.07 ,80.34 ,144.4 ,98.41 ,109.51 ,120.88 ,107.44 ,117.33 ,102.08 ,101.12 ,92.47 ,113.00 
PC,CZ,11.79 ,8.51 ,4.66 ,9.58 ,7.39 ,5.71 ,5.04 ,6.54 ,8.32 ,5.41 ,3.30 ,5.27 ,6.24 ,3.60 ,10.70 ,10.76 ,10.70 ,13.63 ,10.70 ,12.07 
PC,DE,8.09 ,7.14 ,5.58 ,9.27 ,8.79 ,8.04 ,7.67 ,6.42 ,7.08 ,6.81 ,6.49 ,7.39 ,5.18 ,5.48 ,5.32 ,4.88 ,6.17 ,4.78 ,5.71 ,2.57 
PC,DK,2.87 ,3.76 ,2.04 ,3.30 ,2.58 ,2.78 ,2.69 ,2.20 ,3.57 ,4.56 ,5.11 ,3.99 ,4.88 ,7.52 ,6.02 ,5.39 ,6.05 ,5.45 ,4.40 ,2.72 
PC,EE,8.98 ,7.96 ,18.05 ,7.58 ,23.65 ,12.10 ,27.59 ,17.10 ,17.97 ,9.06 ,5.70 ,21.22 ,2.44 ,2.60 ,3.41 ,4.03 ,2.61 ,6.35 ,8.47 ,5.44 
PC,EL,14.90 ,22.52 ,15.62 ,12.76 ,16.32 ,12.72 ,13.22 ,19.86 ,20.19 ,10.92 ,8.81 ,14.11 ,12.82 ,11.49 ,10.39 ,10.28 ,14.75 ,19.59 ,11.81 ,13.27 
PC,ES,10.11 ,6.56 ,12.25 ,7.47 ,11.44 ,19.71 ,10.00 ,12.06 ,12.56 ,12.56 ,5.84 ,10.43 ,16.02 ,6.30 ,7.02 ,11.44 ,6.59 ,13.51 ,6.66 ,8.10 
PC,EU27_2020,5.02 ,4.64 ,4.80 ,5.57 ,5.01 ,5.20 ,4.67 ,5.00 ,4.72 ,4.53 ,3.46 ,4.73 ,4.34 ,3.63 ,3.79 ,4.39 ,4.07 ,4.83 ,4.07 ,3.60 
PC,FI,1.67 ,2.06 ,1.73 ,1.76 ,1.02 ,1.31 ,2.03 ,1.93 ,1.28 ,1.38 ,1.30 ,1.2 ,0.87 ,1.31 ,1.31 ,1.07 ,1.22 ,0.92 ,1.39 ,1.38 
PC,FR,2.88 ,2.89 ,2.86 ,4.22 ,3.81 ,4.14 ,3.46 ,3.00 ,1.92 ,2.38 ,2.19 ,2.97 ,2.28 ,1.53 ,1.64 ,2.53 ,2.10 ,3.25 ,1.73 ,2.80 
PC,HR,0.19 ,0.18 ,0.17 ,0.16 ,0.17 ,0.17 ,0.18 ,0.16 ,0.17 ,0.18 ,0.11 ,0.13 ,0.13 ,0.18 ,0.17 ,0.19 ,0.18 ,0.20 ,0.18 ,0.17 
PC,HU,1.43 ,1.57 ,1.38 ,1.30 ,1.50 ,1.13 ,1.09 ,1.37 ,1.48 ,1.28 ,0.87 ,1.35 ,1.29 ,1.04 ,1.18 ,1.44 ,1.23 ,1.37 ,1.44 ,1.31 
PC,IE,0.49 ,0.78 ,0.49 ,0.83 ,0.67 ,0.77 ,0.64 ,0.84 ,0.50 ,0.48 ,0.72 ,0.62 ,0.60 ,0.67 ,0.51 ,0.55 ,0.66 ,0.71 ,0.69 ,0.56 
PC,IS,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.02 ,0.22 ,0.15 ,0.17 ,0.10 ,0.10 ,0.09 ,0.01 ,0.01 ,0.00 
PC,IT,12.92 ,11.44 ,11.07 ,10.29 ,7.26 ,7.76 ,8.82 ,12.12 ,8.13 ,7.43 ,5.64 ,10.29 ,11.44 ,7.91 ,7.06 ,11.00 p,9.80 p,14.10 p,7.30 p,7.30 p
PC,LT,1.98 ,2.56 ,3.15 ,4.91 ,3.32 ,2.58 ,2.90 ,2.22 ,2.75 ,3.02 ,0.78 ,0.71 ,0.86 ,0.62 ,0.78 ,0.78 ,0.52 ,0.33 ,0.56 ,0.66 
PC,LU,0.29 ,0.27 ,0.28 ,0.56 ,0.52 ,0.65 ,0.41 ,0.34 ,0.39 ,0.58 ,0.51 ,0.87 ,0.53 ,0.38 ,0.59 ,0.60 ,0.42 ,0.60 ,0.48 ,0.53 
PC,LV,0.35 ,0.29 ,0.34 ,0.30 ,0.27 ,0.30 ,0.35 ,0.30 ,0.27 ,0.24 ,0.26 ,0.19 ,0.18 ,0.22 ,0.37 ,0.40 ,0.31 ,0.18 ,0.33 ,0.39 
PC,MK,5.39 ,6.93 ,3.53 ,3.77 ,7.29 ,6.46 ,3.97 ,3.07 ,4.91 ,4.17 ,2.27 ,6.26 ,4.50 ,1.54 ,1.76 ,4.95 ,1.76 ,3.90 ,1.74 ,3.17 
PC,MT,26.57 ,34.94 ,27.93 ,15.04 ,24.97 ,25.32 ,25.05 ,25.25 ,28.66 ,20.77 ,32.16 ,27.88 ,29.06 ,34.95 ,33.03 ,28.62 ,42.52 ,35.20 ,26.07 ,29.60 
PC,NL,2.31 ,2.75 ,2.19 ,5.69 ,5.92 ,5.12 ,4.35 ,4.14 ,5.30 ,5.96 ,4.40 ,5.23 ,4.56 ,4.11 ,4.55 ,3.80 ,3.79 ,4.52 ,4.83 ,4.82 
PC,NO,0.14 ,0.20 ,0.24 ,0.29 ,0.24 ,0.23 ,0.27 ,0.23 ,0.26 ,0.25 ,0.20 ,0.20 ,0.23 ,0.24 ,0.23 ,0.16 ,0.21 ,0.18 ,0.20 ,0.07 
PC,PL,6.80 ,7.19 ,6.62 ,8.57 ,8.29 ,7.05 ,8.90 ,7.75 ,7.68 ,8.58 ,5.52 ,5.46 ,8.31 ,6.00 ,7.77 ,8.32 ,10.53 ,6.42 ,5.84 ,8.70 
PC,PT,44.00 ,52.28 ,44.00 ,20.34 ,21.12 ,78.23 ,76.62 ,16.10 ,36.74 ,31.97 ,9.27 ,15.41 ,20.29 ,10.11 ,10.54 ,29.10 ,13.06 ,23.25 ,21.27 ,11.36 
PC,RO,12.21 ,10.93 ,11.76 ,15.90 ,7.93 ,5.40 ,5.29 ,10.06 ,19.45 ,12.48 ,9.84 ,18.56 ,24.67 ,19.05 ,25.23 ,23.83 ,15.04 ,21.98 ,19.37 ,9.03 
PC,RS,19.62 ,5.99 ,8.05 ,9.23 ,5.67 ,8.97 ,35.80 ,21.55 ,8.93 ,10.67 ,6.04 ,4.74 ,8.59 ,3.17 ,2.74 ,35.80 ,4.55 ,35.80 ,6.91 ,2.42 
PC,SE,0.85 ,1.20 ,1.30 ,1.84 ,1.60 ,1.92 ,1.35 ,1.54 ,1.33 ,1.37 ,1.92 ,1.10 ,0.88 ,1.27 ,1.12 ,0.76 ,1.06 ,0.69 ,1.03 ,0.22 
PC,SI,0.52 ,0.65 ,0.80 ,0.98 ,0.68 ,0.72 ,0.77 ,0.89 ,0.78 ,0.61 ,0.55 ,0.81 ,0.55 ,0.50 ,0.44 ,0.75 ,0.58 ,0.67 ,0.60 ,0.44 
PC,SK,0.69 ,0.72 ,0.67 ,1.00 ,0.82 ,0.61 ,0.47 ,0.48 ,0.45 ,0.37 ,0.28 ,0.50 ,0.51 ,0.24 ,0.29 ,0.33 ,0.25 ,0.28 ,1.34 p,1.24 p
PC,TR,12.84 ,11.89 ,10.18 ,10.12 ,12.55 ,12.07 ,11.47 ,13.21 ,17.27 ,9.52 ,9.05 ,13.40 ,11.56 ,13.97 ,16.63 ,14.04 ,16.33 ,13.19 ,14.03 ,14.03 
PC,XK,0.41 ,0.46 ,0.48 ,0.36 ,0.54 ,0.62 ,0.62 ,1.02 ,0.88 ,0.76 ,1.81 ,4.69 ,4.04 ,2.92 ,4.26 ,4.82 ,3.80 ,6.25 ,3.43 ,6.41 
